gbifID,reference,publisher,rightsHolder
3466386275,https://www.inaturalist.org/photos/178075876,"iNaturalist","Steven Kurniawidjaja"
3466386275,https://www.inaturalist.org/photos/178075820,"iNaturalist","Steven Kurniawidjaja"
3466386275,https://www.inaturalist.org/photos/178075850,"iNaturalist","Steven Kurniawidjaja"
3466386275,https://www.inaturalist.org/photos/178075870,"iNaturalist","Steven Kurniawidjaja"
3466386275,https://www.inaturalist.org/photos/178075860,"iNaturalist","Steven Kurniawidjaja"
3466386275,https://www.inaturalist.org/photos/178075695,"iNaturalist","Steven Kurniawidjaja"
3466370004,https://www.inaturalist.org/photos/178076172,"iNaturalist","Steven Kurniawidjaja"
3466370004,https://www.inaturalist.org/photos/178076094,"iNaturalist","Steven Kurniawidjaja"
3466370004,https://www.inaturalist.org/photos/178076129,"iNaturalist","Steven Kurniawidjaja"
3466370004,https://www.inaturalist.org/photos/178076139,"iNaturalist","Steven Kurniawidjaja"
3466370004,https://www.inaturalist.org/photos/178076154,"iNaturalist","Steven Kurniawidjaja"
3466370004,https://www.inaturalist.org/photos/178076112,"iNaturalist","Steven Kurniawidjaja"
3466324242,https://www.inaturalist.org/photos/177005924,"iNaturalist","James Maughn"
3466245498,https://www.inaturalist.org/photos/177052643,"iNaturalist","Robin Gwen Agarwal"
3466234120,https://www.inaturalist.org/photos/176852897,"iNaturalist","Sheldon Logan"
3466234120,https://www.inaturalist.org/photos/176852907,"iNaturalist","Sheldon Logan"
3466188480,https://www.inaturalist.org/photos/177052649,"iNaturalist","Robin Gwen Agarwal"
3466187680,https://www.inaturalist.org/photos/177407184,"iNaturalist","James Maughn"
3466160444,https://www.inaturalist.org/photos/177052650,"iNaturalist","Robin Gwen Agarwal"
3466007955,https://www.inaturalist.org/photos/176718588,"iNaturalist","Sarah Wang - whi"
3466007955,https://www.inaturalist.org/photos/176718586,"iNaturalist","Sarah Wang - whi"
3466007955,https://www.inaturalist.org/photos/176718602,"iNaturalist","Sarah Wang - whi"
3466007955,https://www.inaturalist.org/photos/176718569,"iNaturalist","Sarah Wang - whi"
3466007955,https://www.inaturalist.org/photos/176718579,"iNaturalist","Sarah Wang - whi"
3466007955,https://www.inaturalist.org/photos/176718597,"iNaturalist","Sarah Wang - whi"
3466005003,https://www.inaturalist.org/photos/176721620,"iNaturalist","Irene"
3466005003,https://www.inaturalist.org/photos/176722250,"iNaturalist","Irene"
3466005003,https://www.inaturalist.org/photos/176721637,"iNaturalist","Irene"
3466005003,https://www.inaturalist.org/photos/176721615,"iNaturalist","Irene"
3466005003,https://www.inaturalist.org/photos/176721629,"iNaturalist","Irene"
3465982897,https://www.inaturalist.org/photos/178077671,"iNaturalist","Steven Kurniawidjaja"
3465982897,https://www.inaturalist.org/photos/178077723,"iNaturalist","Steven Kurniawidjaja"
3465982897,https://www.inaturalist.org/photos/178077712,"iNaturalist","Steven Kurniawidjaja"
3465982897,https://www.inaturalist.org/photos/178077585,"iNaturalist","Steven Kurniawidjaja"
3465982897,https://www.inaturalist.org/photos/178077616,"iNaturalist","Steven Kurniawidjaja"
